,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
0,1616745600000,put,BTC-26MAR21-8000-P,8000.0,59399.72,BTC-26MAR21,1613824333847,"{'volume': 50.0, 'price_change': 0.0, 'low': 0.001, 'high': 0.001}",open,0.0,2225.9,0.0001,0.015,2.323e-05,197.28,0.001,0.0,57136.04,"{'vega': 0.09599, 'theta': -0.28004, 'rho': -0.0088, 'gamma': 0.0, 'delta': -0.00014}",57136.04,27222729051,[],0.0,0.0,0.0,0.0005,10.0,"[[0.0005, 10.0], [0.001, 30.0], [0.002, 0.1], [0.0085, 21.0], [0.1, 1.0]]",260.52
1,1613980800000,put,BTC-22FEB21-54000-P,54000.0,57287.07,SYN.BTC-22FEB21,1613824333843,"{'volume': 6.0, 'price_change': -44.8276, 'low': 0.008, 'high': 0.0145}",open,,5.0,0.0001,0.0415,0.00701518,96.54,0.008,0.0,57136.04,"{'vega': 10.70932, 'theta': -285.43382, 'rho': -0.54094, 'gamma': 7e-05, 'delta': -0.18329}",57136.04,27222736503,"[[0.0065, 1.0], [0.006, 45.9], [0.0055, 16.7], [0.0005, 2.4]]",93.76,0.0065,1.0,0.0085,46.9,"[[0.0085, 46.9], [0.0095, 0.1], [0.01, 15.0], [0.0115, 1.5], [0.0135, 2.0], [0.019, 0.1]]",104.27
2,1615536000000,put,BTC-12MAR21-32000-P,32000.0,58594.98,SYN.BTC-12MAR21,1613824333842,"{'volume': 9.0, 'price_change': -33.3333, 'low': 0.003, 'high': 0.006}",open,0.0,14.5,0.0001,0.0245,0.00368653,145.57,0.003,0.0,57136.04,"{'vega': 8.08363, 'theta': -29.69823, 'rho': -0.92487, 'gamma': 0.0, 'delta': -0.02539}",57136.04,27222735829,"[[0.0025, 31.0], [0.0005, 0.1]]",135.97,0.0025,31.0,0.0045,31.0,"[[0.0045, 31.0], [0.008, 2.0]]",151.13
3,1614931200000,put,BTC-5MAR21-40000-P,40000.0,58193.02,BTC-5MAR21,1613824333847,"{'volume': 508.0, 'price_change': 0.0, 'low': 0.0065, 'high': 0.0095}",open,0.01,1031.3,0.0001,0.0325,0.0054252,130.25,0.007,0.0,57136.04,"{'vega': 10.99618, 'theta': -55.89679, 'rho': -1.10394, 'gamma': 1e-05, 'delta': -0.04862}",57136.04,27222728581,"[[0.0045, 26.5], [0.004, 49.6], [0.003, 10.0], [0.0005, 0.1]]",125.11,0.0045,26.5,0.0065,59.0,"[[0.0065, 59.0], [0.0085, 19.0], [0.014, 1.0], [0.016, 0.1], [0.02, 2.0]]",135.67
4,1619769600000,call,BTC-30APR21-88000-C,88000.0,60721.54,SYN.BTC-30APR21,1613824333847,"{'volume': 22.0, 'price_change': 6.9565, 'low': 0.0575, 'high': 0.0625}",open,0.05,200.3,0.0225,0.138,0.0632016,104.87,0.0615,0.0,57136.04,"{'vega': 88.52354, 'theta': -67.45479, 'rho': 24.6495, 'gamma': 1e-05, 'delta': 0.27853}",57136.04,27222739720,"[[0.0615, 27.3], [0.0605, 16.0], [0.055, 14.0], [0.0425, 0.1], [0.0015, 0.4]]",103.7,0.0615,27.3,0.0645,41.3,"[[0.0645, 41.3], [0.0675, 16.0]]",105.76
5,1632470400000,put,BTC-24SEP21-40000-P,40000.0,65676.8,BTC-24SEP21,1613824333848,"{'volume': 52.2, 'price_change': -22.8571, 'low': 0.0675, 'high': 0.0875}",open,0.08,397.6,0.034,0.1375,0.07185444,89.62,0.0675,0.0,57136.04,"{'vega': 114.37123, 'theta': -23.74656, 'rho': -83.67873, 'gamma': 1e-05, 'delta': -0.14363}",57136.04,27222728996,"[[0.0655, 13.2], [0.064, 14.0], [0.06, 5.0], [0.0395, 0.1]]",85.94,0.0655,13.2,0.0735,13.2,"[[0.0735, 13.2], [0.087, 14.0], [0.18, 1.0], [0.208, 1.0], [0.4, 0.5]]",90.56
6,1613894400000,call,BTC-21FEB21-59000-C,59000.0,57203.46,SYN.BTC-21FEB21,1613824333841,"{'volume': 51.0, 'price_change': 28.5714, 'low': 0.0015, 'high': 0.01}",open,0.0,44.7,0.0001,0.041,0.00664602,95.29,0.0045,0.0,57136.04,"{'vega': 8.61836, 'theta': -380.17545, 'rho': 0.31281, 'gamma': 0.00012, 'delta': 0.25272}",57136.04,27222737728,"[[0.0055, 31.0], [0.005, 20.0], [0.0045, 0.1], [0.004, 13.2], [0.0015, 4.0], [0.0005, 2.4]]",87.52,0.0055,31.0,0.008,20.0,"[[0.008, 20.0], [0.0085, 31.1], [0.011, 13.0], [0.028, 0.1]]",104.1
7,1624608000000,put,BTC-25JUN21-28000-P,28000.0,62837.91,BTC-25JUN21,1613824333843,"{'volume': 84.6, 'price_change': -11.1111, 'low': 0.016, 'high': 0.0185}",open,0.01,703.0,0.0001,0.0435,0.01353617,98.41,0.016,0.0,57136.04,"{'vega': 35.00233, 'theta': -13.79854, 'rho': -12.63733, 'gamma': 0.0, 'delta': -0.04528}",57136.04,27222735385,"[[0.0115, 20.0], [0.011, 15.0], [0.0105, 19.0], [0.009, 0.1]]",94.61,0.0115,20.0,0.0155,15.0,"[[0.0155, 15.0], [0.016, 20.0], [0.0195, 19.0], [0.081, 2.0], [0.18, 0.1], [0.2, 0.1], [0.205, 0.1], [0.22, 0.1], [0.24, 0.1], [0.26, 0.2], [0.28, 0.1], [0.3, 0.1], [0.5, 0.1], [0.6, 0.1], [0.7, 0.1]]",101.82
8,1614931200000,put,BTC-5MAR21-56000-P,56000.0,58192.76,BTC-5MAR21,1613824334850,"{'volume': 4.2, 'price_change': 0.0, 'low': 0.065, 'high': 0.067}",open,0.07,4.0,0.0195,0.114,0.05640457,100.69,0.065,0.0,57135.51,"{'vega': 41.60554, 'theta': -163.50004, 'rho': -8.97239, 'gamma': 3e-05, 'delta': -0.38288}",57135.51,27222739616,"[[0.0545, 41.6], [0.053, 10.1], [0.0415, 0.1], [0.0155, 0.5]]",98.02,0.0545,41.6,0.058,21.6,"[[0.058, 21.6], [0.0585, 20.1], [0.0715, 9.0]]",102.92
9,1619769600000,put,BTC-30APR21-100000-P,100000.0,60722.17,SYN.BTC-30APR21,1613824334849,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.74,0.0,0.6155,0.7945,0.68933012,107.12,,0.0,57135.51,"{'vega': 73.90835, 'theta': -57.52497, 'rho': -170.44065, 'gamma': 1e-05, 'delta': -0.79957}",57135.51,0,[],0.0,0.0,0.0,0.0,0.0,[],0.0
