,expiration_timestamp,option_type,instrument_name,strike,underlying_price,underlying_index,timestamp,stats,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,index_price,greeks,estimated_delivery_price,change_id,bids,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,asks,ask_iv
0,1613894400000,put,ETH-21FEB21-2020-P,2020.0,2029.57,SYN.ETH-21FEB21,1613824373361,"{'volume': 23.0, 'price_change': -21.9512, 'low': 0.0155, 'high': 0.0215}",open,0.03,20.0,0.0001,0.0585,0.016494,100.07,0.016,0.0,2027.29,"{'vega': 0.37861, 'theta': -18.94295, 'rho': -0.02105, 'gamma': 0.00414, 'delta': -0.45072}",2027.29,7743720515,"[[0.013, 9.0], [0.0125, 2.0], [0.0115, 320.0]]",81.28,0.013,9.0,0.0165,1.0,"[[0.0165, 1.0], [0.0175, 4.0], [0.018, 240.0], [0.039, 1.0]]",100.06
1,1615536000000,call,ETH-12MAR21-2040-C,2040.0,2083.77,SYN.ETH-12MAR21,1613824373354,"{'volume': 61.0, 'price_change': 11.5207, 'low': 0.1075, 'high': 0.121}",open,0.11,176.0,0.066,0.181,0.115532,114.18,0.121,0.0,2027.29,"{'vega': 1.89333, 'theta': -5.45602, 'rho': 0.53012, 'gamma': 0.0007, 'delta': 0.58426}",2027.29,7743719861,"[[0.121, 38.0], [0.0935, 1.0]]",120.2,0.121,38.0,0.125,256.0,"[[0.125, 256.0]]",124.61
2,1624608000000,put,ETH-25JUN21-600-P,600.0,2248.13,ETH-25JUN21,1613824373354,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.01,3515.0,0.0001,0.0225,0.007023,133.2,0.0085,0.0,2027.29,"{'vega': 0.59627, 'theta': -0.31818, 'rho': -0.19636, 'gamma': 3e-05, 'delta': -0.01852}",2027.29,7743702966,"[[0.0055, 150.0], [0.0035, 320.0], [0.0005, 1.0]]",127.07,0.0055,150.0,0.009,250.0,"[[0.009, 250.0], [0.01, 320.0]]",140.16
3,1613980800000,put,ETH-22FEB21-1720-P,1720.0,2032.42,SYN.ETH-22FEB21,1613824373358,"{'volume': 6.0, 'price_change': 0.0, 'low': 0.0005, 'high': 0.0005}",open,,6.0,0.0001,0.015,0.000277,104.73,0.0005,0.0,2027.29,"{'vega': 0.04058, 'theta': -0.56222, 'rho': -0.00111, 'gamma': 0.00019, 'delta': -0.01073}",2027.29,7743718250,"[[0.0005, 6.0]]",113.8,0.0005,6.0,0.0025,406.0,"[[0.0025, 406.0]]",151.79
4,1613980800000,call,ETH-22FEB21-1820-C,1820.0,2032.45,SYN.ETH-22FEB21,1613824374367,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,,0.0,0.077,0.143,0.106395,102.57,,0.0,2027.33,"{'vega': 0.16796, 'theta': -4.75813, 'rho': 0.08415, 'gamma': 0.0008, 'delta': 0.94114}",2027.33,7743720374,"[[0.1055, 1.0]]",89.65,0.1055,1.0,0.0,0.0,[],0.0
5,1613894400000,call,ETH-21FEB21-2200-C,2200.0,2029.6,SYN.ETH-21FEB21,1613824374365,"{'volume': 473.0, 'price_change': -25.0, 'low': 0.001, 'high': 0.0055}",open,0.0,471.0,0.0001,0.031,0.00195,118.75,0.0015,0.0,2027.33,"{'vega': 0.14064, 'theta': -3.95703, 'rho': 0.00347, 'gamma': 0.00129, 'delta': 0.07886}",2027.33,7743711302,"[[0.001, 5.0], [0.0005, 406.0]]",102.69,0.001,5.0,0.003,6.0,"[[0.003, 6.0], [0.0035, 200.0], [0.0045, 401.0]]",132.34
6,1613980800000,call,ETH-22FEB21-2120-C,2120.0,2032.45,SYN.ETH-22FEB21,1613824374368,"{'volume': 16.0, 'price_change': -17.3913, 'low': 0.0095, 'high': 0.012}",open,,16.0,0.0001,0.056,0.014209,108.48,0.0095,0.0,2027.33,"{'vega': 0.50044, 'theta': -14.99305, 'rho': 0.02918, 'gamma': 0.00225, 'delta': 0.3037}",2027.33,7743720329,"[[0.0145, 5.0], [0.014, 284.0], [0.013, 320.0], [0.0125, 5.0], [0.0095, 1.0]]",109.64,0.0145,5.0,0.0165,5.0,"[[0.0165, 5.0], [0.017, 5.0], [0.019, 320.0]]",117.66
7,1614326400000,call,ETH-26FEB21-1880-C,1880.0,2043.87,SYN.ETH-26FEB21,1613824374361,"{'volume': 24.0, 'price_change': 23.4568, 'low': 0.081, 'high': 0.11}",open,0.09,575.0,0.06,0.1495,0.100177,104.14,0.1,0.0,2027.33,"{'vega': 0.80425, 'theta': -7.20722, 'rho': 0.21422, 'gamma': 0.00116, 'delta': 0.75858}",2027.33,7743713400,"[[0.0945, 1.0]]",89.19,0.0945,1.0,0.12,2.0,"[[0.12, 2.0], [0.13, 2.0], [0.14, 2.0], [0.15, 2.0], [0.283, 6.0]]",151.44
8,1616745600000,put,ETH-26MAR21-140-P,140.0,2123.74,ETH-26MAR21,1613824374364,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,0.0,8768.0,0.0001,0.015,2e-06,232.73,0.0005,0.0,2027.33,"{'vega': 0.00039, 'theta': -0.00135, 'rho': -3e-05, 'gamma': 0.0, 'delta': -1e-05}",2027.33,7743209479,[],0.0,0.0,0.0,0.0005,1865.0,"[[0.0005, 1865.0], [0.035, 6.0], [0.0495, 17.0], [0.0545, 100.0], [0.0595, 200.0], [0.06, 155.0], [0.0645, 300.0], [0.0695, 300.0], [0.07, 5.0], [0.0745, 300.0], [0.0795, 400.0], [0.12, 100.0], [0.15, 100.0], [0.19, 100.0], [0.22, 100.0]]",357.81
9,1632470400000,put,ETH-24SEP21-440-P,440.0,2351.81,ETH-24SEP21,1613824374366,"{'volume': 300.0, 'price_change': 0.0, 'low': 0.007, 'high': 0.007}",open,0.01,749.0,0.0001,0.0235,0.006554,126.14,0.007,0.0,2027.33,"{'vega': 0.6232, 'theta': -0.18212, 'rho': -0.27808, 'gamma': 2e-05, 'delta': -0.01344}",2027.33,7743704805,"[[0.005, 150.0], [0.0005, 1.0]]",119.83,0.005,150.0,0.008,150.0,"[[0.008, 150.0]]",131.3
10,1640937600000,put,ETH-31DEC21-10000-P,10000.0,2414.95,SYN.ETH-31DEC21,1613824374361,"{'volume': None, 'price_change': None, 'low': None, 'high': None}",open,3.35,0.0,3.0585,3.494,3.239584,120.45,,0.0,2027.33,"{'vega': 6.92391, 'theta': -1.32878, 'rho': -83.08891, 'gamma': 0.00011, 'delta': -0.76234}",2027.33,6839436908,[],0.0,0.0,0.0,0.0,0.0,[],0.0
11,1613980800000,call,ETH-22FEB21-2160-C,2160.0,2032.45,SYN.ETH-22FEB21,1613824374366,"{'volume': 11.0, 'price_change': 41.6667, 'low': 0.006, 'high': 0.0085}",open,,11.0,0.0001,0.05,0.010095,111.21,0.0085,0.0,2027.33,"{'vega': 0.43493, 'theta': -13.35806, 'rho': 0.0222, 'gamma': 0.00191, 'delta': 0.23027}",2027.33,7743719977,"[[0.0095, 297.0], [0.009, 320.0], [0.0085, 5.0], [0.0055, 1.0]]",108.39,0.0095,297.0,0.012,10.0,"[[0.012, 10.0], [0.014, 320.0]]",119.9
